 


Daily Averaged Summary
CHAMPAIGN WILLARD AP (IL)
WBAN ID: 94870
Lat/Lon/Elev: 40.0397/-88.2778/754ft.
 
Date,Max Hourly Temp (F),Min Hourly Temp (F),Max Wind Speed (mph),Total Precip (in),
2010-06-15,82,70,11,M,
2010-06-16,81,66,17,M,
2010-06-17,83,64,9,0.00,
2010-06-18,91,66,20,M,
2010-06-19,86,67,15,0.39,
2010-06-20,90,70,10,M,
2010-06-21,88,69,24,0.88,
2010-06-22,83,68,17,M,
2010-06-23,89,71,26,M,
2010-06-24,82,67,14,0.00,
2010-06-25,83,64,7,0.00,
2010-06-26,89,69,11,0.00,
2010-06-27,86,73,20,0.08,
2010-06-28,84,66,17,M,
2010-06-29,78,61,11,0.00,
2010-06-30,78,57,13,0.00,
2010-07-01,79,57,13,0.00,
2010-07-02,81,55,10,0.00,
2010-07-03,86,55,11,0.00,
2010-07-04,90,70,16,0.04,
2010-07-05,89,71,20,0.00,
2010-07-06,91,71,14,0.00,
2010-07-07,94,69,11,0.00,
2010-07-08,88,72,10,M,
2010-07-09,86,64,15,0.00,
2010-07-10,87,62,7,0.00,
2010-07-11,82,62,14,0.01,
2010-07-12,86,66,7,M,
2010-07-13,84,70,13,M,
2010-07-14,91,67,11,M,
2010-07-15,91,71,24,M,
2010-07-16,85,64,8,0.01,
2010-07-17,90,67,11,0.00,
2010-07-18,82,71,13,0.00,
2010-07-19,84,64,16,M,
2010-07-20,82,68,21,M,
2010-07-21,85,71,7,M,
2010-07-22,90,70,13,M,
2010-07-23,91,77,17,0.00,
2010-07-24,90,73,23,M,
2010-07-25,84,65,13,M,
2010-07-26,85,66,10,M,
2010-07-27,88,69,13,0.00,
2010-07-28,89,73,13,M,
2010-07-29,87,70,10,M,
2010-07-30,81,65,13,0.00,
2010-07-31,82,68,15,M,
2010-08-01,83,63,9,M,
2010-08-02,84,63,9,M,
2010-08-03,93,70,11,0.00,
2010-08-04,95,76,16,0.13,
2010-08-05,86,64,15,M,
2010-08-06,80,59,11,0.00,
2010-08-07,84,59,8,0.00,
2010-08-08,90,63,11,0.00,
2010-08-09,92,70,9,0.00,
2010-08-10,93,75,20,M,
2010-08-11,90,73,13,M,
2010-08-12,91,73,7,0.00,
2010-08-13,94,72,18,0.04,
2010-08-14,89,71,20,M,
2010-08-15,87,65,15,0.00,
2010-08-16,81,61,17,0.00,
2010-08-17,81,62,10,0.00,
2010-08-18,86,66,14,M,
2010-08-19,91,63,8,0.00,
2010-08-20,93,70,15,0.59,
2010-08-21,83,70,14,M,
2010-08-22,87,66,11,0.00,
2010-08-23,85,60,9,0.00,
2010-08-24,84,65,9,0.01,
2010-08-25,79,57,14,0.00,
2010-08-26,80,55,7,0.00,
2010-08-27,85,53,7,0.00,
2010-08-28,90,54,11,0.00,
2010-08-29,95,68,15,0.00,
2010-08-30,87,66,17,0.00,
2010-08-31,91,70,15,0.00,
2010-09-01,81,71,11,M,
2010-09-02,84,68,21,M,
2010-09-03,73,54,28,M,
2010-09-04,71,50,20,0.00,
2010-09-05,80,48,14,0.00,
2010-09-06,89,54,25,0.00,
2010-09-07,81,55,22,M,
2010-09-08,78,47,11,0.00,
2010-09-09,78,50,11,0.00,
2010-09-10,71,56,14,M,
2010-09-11,78,55,18,M,
2010-09-12,84,51,14,0.00,
2010-09-13,89,58,17,0.00,
2010-09-14,85,60,9,0.00,
2010-09-15,88,55,13,0.09,
2010-09-16,73,57,20,M,
2010-09-17,81,48,8,0.00,
2010-09-18,84,54,15,0.01,
2010-09-19,79,60,13,M,
2010-09-20,91,64,11,0.00,
2010-09-21,95,66,24,0.00,
2010-09-22,78,64,13,M,
2010-09-23,92,66,26,0.00,
2010-09-24,77,52,24,M,
2010-09-25,71,48,16,0.18,
2010-09-26,61,49,15,M,
2010-09-27,67,44,11,0.00,
2010-09-28,75,43,9,M,
2010-09-29,78,46,11,M,
2010-09-30,78,50,24,0.00,
2010-10-01,74,44,11,0.00,
2010-10-02,59,44,23,M,
2010-10-03,61,42,17,M,
2010-10-04,63,34,13,0.00,
2010-10-05,69,36,10,0.00,
2010-10-06,77,39,17,0.00,
2010-10-07,79,47,10,0.00,
2010-10-08,81,43,10,0.00,
2010-10-09,87,50,10,0.00,
2010-10-10,87,54,15,0.00,
2010-10-11,85,56,13,M,
2010-10-12,79,53,8,0.00,
2010-10-13,65,45,20,M,
2010-10-14,68,36,21,0.00,
2010-10-15,65,42,15,0.00,
2010-10-16,72,38,18,0.00,
2010-10-17,73,46,11,0.00,
2010-10-18,62,38,14,0.00,
2010-10-19,65,35,9,0.00,
2010-10-20,71,37,23,0.00,
2010-10-21,61,37,16,0.00,
2010-10-22,70,33,13,0.00,
2010-10-23,81,59,24,0.00,
2010-10-24,77,58,25,M,
2010-10-25,75,57,28,M,
2010-10-26,72,47,36,M,
2010-10-27,68,46,30,0.00,
2010-10-28,45,29,22,M,
2010-10-29,53,25,13,0.00,
2010-10-30,66,36,26,0.00,
2010-10-31,55,40,18,0.00,
2010-11-01,56,35,18,0.00,
2010-11-02,51,34,15,0.00,
2010-11-03,57,28,13,0.00,
2010-11-04,53,37,24,0.01,
2010-11-05,42,22,22,0.00,
2010-11-06,46,19,13,0.00,
2010-11-07,65,30,21,0.00,
2010-11-08,71,37,15,0.00,
2010-11-09,74,40,15,M,
2010-11-10,71,41,16,0.00,
2010-11-11,75,45,9,0.00,
2010-11-12,74,43,14,0.00,
2010-11-13,56,40,22,M,
2010-11-14,52,30,18,0.00,
2010-11-15,56,31,14,0.00,
2010-11-16,46,27,13,0.00,
2010-11-17,51,28,17,M,
2010-11-18,43,25,11,M,
2010-11-19,52,23,24,M,
2010-11-20,45,28,14,M,
2010-11-21,63,40,24,M,
2010-11-22,69,41,32,M,
2010-11-23,39,27,18,M,
2010-11-24,41,27,24,M,
2010-11-25,47,25,21,M,
2010-11-26,35,22,21,0.00,
2010-11-27,37,24,16,M,
2010-11-28,45,26,17,0.00,
2010-11-29,51,33,20,M,
2010-11-30,52,27,28,M,
2010-12-01,27,20,22,0.00,
2010-12-02,32,22,13,0.00,
2010-12-03,34,23,10,M,
2010-12-04,30,27,18,M,
2010-12-05,27,6,21,0.00,
2010-12-06,17,4,21,M,
2010-12-07,18,2,14,0.00,
2010-12-08,20,0,9,0.00,
2010-12-09,32,0,20,0.00,
2010-12-10,38,24,14,0.00,
2010-12-11,48,21,26,M,
2010-12-12,25,14,37,M,
2010-12-13,12,3,32,0.00,
2010-12-14,19,0,10,0.00,
2010-12-15,24,3,18,M,
2010-12-16,25,21,14,M,
2010-12-17,22,8,17,M,
2010-12-18,26,9,10,M,
2010-12-19,30,10,8,M,
2010-12-20,32,21,20,0.02,
2010-12-21,35,32,20,M,
2010-12-22,33,19,25,M,
2010-12-23,32,17,10,M,
2010-12-24,30,25,9,M,
2010-12-25,28,24,17,M,
2010-12-26,27,16,18,M,
2010-12-27,21,8,14,M,
2010-12-28,27,12,11,M,
2010-12-29,37,14,20,M,
2010-12-30,49,37,22,M,
2010-12-31,57,46,28,M,
2011-01-01,42,18,23,M,
2011-01-02,28,13,14,0.00,
2011-01-03,39,21,20,0.00,
2011-01-04,29,14,18,0.00,
2011-01-05,35,13,13,0.00,
2011-01-06,31,22,23,M,
2011-01-07,28,17,21,M,
2011-01-08,19,6,21,0.00,
2011-01-09,27,3,7,0.00,
2011-01-10,33,20,17,0.00,
2011-01-11,27,22,18,M,
2011-01-12,21,11,23,M,
2011-01-13,19,0,13,0.00,
2011-01-14,29,8,10,0.00,
2011-01-15,31,16,17,M,
2011-01-16,24,5,10,0.00,
2011-01-17,37,22,18,M,
2011-01-18,36,28,16,M,
2011-01-19,27,23,13,M,
2011-01-20,22,4,16,M,
2011-01-21,4,-11,15,M,
2011-01-22,21,3,14,M,
2011-01-23,21,8,17,M,
2011-01-24,32,14,14,M,
2011-01-25,27,14,7,M,
2011-01-26,28,21,13,M,
2011-01-27,30,20,18,0.00,
2011-01-28,27,22,15,0.00,
2011-01-29,34,22,15,M,
2011-01-30,35,25,18,M,
2011-01-31,27,19,24,M,
2011-02-01,23,17,36,M,
2011-02-02,21,7,31,M,
2011-02-03,13,0,10,0.00,
2011-02-04,24,8,15,0.00,
2011-02-05,29,18,17,M,
2011-02-06,34,28,21,M,
2011-02-07,30,12,18,M,
2011-02-08,15,0,20,0.00,
2011-02-09,11,-4,14,0.00,
2011-02-10,19,-12,17,0.00,
2011-02-11,33,13,21,0.00,
2011-02-12,37,19,20,0.00,
2011-02-13,43,31,24,0.00,
2011-02-14,42,28,25,0.00,
2011-02-15,39,27,16,0.00,
2011-02-16,54,36,17,M,
2011-02-17,63,47,26,M,
2011-02-18,53,30,20,0.00,
2011-02-19,47,28,13,0.00,
2011-02-20,59,34,24,0.26,
2011-02-21,56,33,17,M,
2011-02-22,33,28,16,M,
2011-02-23,40,28,16,M,
2011-02-24,39,32,28,M,
2011-02-25,35,30,29,M,
2011-02-26,37,31,10,M,
2011-02-27,55,35,23,M,
2011-02-28,39,27,26,0.18,
2011-03-01,46,25,18,0.00,
2011-03-02,45,30,16,0.00,
2011-03-03,52,28,18,0.00,
2011-03-04,59,41,24,M,
2011-03-05,54,30,24,M,
2011-03-06,36,27,14,M,
2011-03-07,41,30,14,0.00,
2011-03-08,50,34,20,0.32,
2011-03-09,50,36,22,M,
2011-03-10,36,32,18,M,
2011-03-11,48,27,21,0.00,
2011-03-12,50,32,25,M,
2011-03-13,37,29,17,M,
2011-03-14,44,32,21,0.10,
2011-03-15,41,36,22,M,
2011-03-16,61,34,18,0.00,
2011-03-17,73,45,30,0.00,
2011-03-18,58,36,20,0.05,
2011-03-19,56,32,16,0.00,
2011-03-20,69,43,21,0.06,
2011-03-21,72,54,15,M,
2011-03-22,72,47,22,0.00,
2011-03-23,72,36,39,M,
2011-03-24,39,31,18,M,
2011-03-25,40,29,18,0.00,
2011-03-26,39,26,21,0.00,
2011-03-27,42,25,20,0.00,
2011-03-28,47,25,17,0.00,
2011-03-29,48,30,16,0.00,
2011-03-30,52,32,15,0.00,
2011-03-31,50,28,9,0.00,
2011-04-01,52,34,26,0.03,
2011-04-02,61,31,26,0.00,
2011-04-03,82,42,40,0.00,
2011-04-04,71,41,28,M,
2011-04-05,54,32,25,0.00,
2011-04-06,73,43,28,0.00,
2011-04-07,61,41,28,M,
2011-04-08,59,46,25,M,
2011-04-09,77,50,16,M,
2011-04-10,84,63,30,0.00,
2011-04-11,63,52,18,M,
2011-04-12,62,42,17,0.00,
2011-04-13,66,38,6,0.00,
2011-04-14,72,43,24,M,
2011-04-15,63,46,26,M,
2011-04-16,50,38,31,M,
2011-04-17,60,38,16,0.00,
2011-04-18,59,45,25,M,
2011-04-19,73,41,28,M,
2011-04-20,45,35,26,M,
2011-04-21,57,33,20,0.06,
2011-04-22,64,47,20,M,
2011-04-23,66,49,22,M,
2011-04-24,62,51,11,0.01,
2011-04-25,65,54,20,M,
2011-04-26,69,54,28,M,
2011-04-27,56,43,23,M,
2011-04-28,57,42,31,0.00,
2011-04-29,62,43,13,M,
2011-04-30,73,49,39,0.00,
2011-05-01,64,45,18,M,
2011-05-02,55,46,8,0.04,
2011-05-03,57,40,23,0.00,
2011-05-04,56,34,16,0.00,
2011-05-05,64,35,20,0.25,
2011-05-06,67,45,15,M,
2011-05-07,76,53,26,0.11,
2011-05-08,72,52,15,M,
2011-05-09,80,55,26,0.00,
2011-05-10,91,68,21,0.00,
2011-05-11,90,62,18,0.00,
2011-05-12,86,65,16,0.00,
2011-05-13,81,55,17,0.02,
2011-05-14,55,50,21,M,
2011-05-15,51,44,22,M,
2011-05-16,60,38,22,0.00,
2011-05-17,61,37,16,0.00,
2011-05-18,63,46,10,M,
2011-05-19,75,48,8,M,
2011-05-20,83,56,14,0.00,
2011-05-21,83,66,18,0.00,
2011-05-22,90,64,31,M,
2011-05-23,85,61,32,0.00,
2011-05-24,87,61,15,M,
2011-05-25,75,61,23,M,
2011-05-26,63,47,22,M,
2011-05-27,61,47,13,0.00,
2011-05-28,65,55,13,M,
2011-05-29,84,63,20,M,
2011-05-30,91,69,25,0.00,
2011-05-31,M,M,26,M,
2011-06-01,87,60,16,0.00,
2011-06-02,80,61,13,0.08,
2011-06-03,92,65,17,M,
2011-06-04,97,73,22,M,
2011-06-05,85,68,23,0.64,
2011-06-06,93,68,18,M,
2011-06-07,96,72,18,0.00,
2011-06-08,96,74,20,0.00,
2011-06-09,93,63,21,M,
2011-06-10,90,62,21,M,
2011-06-11,79,59,20,M,
2011-06-12,74,56,18,M,
2011-06-13,77,54,13,0.00,
2011-06-14,75,63,18,M,
2011-06-15,77,62,23,M,
2011-06-16,84,60,17,0.00,
2011-06-17,83,65,17,0.00,
2011-06-18,80,67,13,M,
2011-06-19,79,67,14,M,
2011-06-20,85,71,21,0.02,
2011-06-21,86,69,23,M,
2011-06-22,75,67,23,0.00,
2011-06-23,70,64,18,M,
2011-06-24,70,59,16,M,
2011-06-25,77,54,15,0.09,
2011-06-26,78,66,24,M,
2011-06-27,81,66,24,1.10,
2011-06-28,79,60,14,0.00,
2011-06-29,81,56,6,0.00,
2011-06-30,85,61,11,0.00,
2011-07-01,84,68,17,0.02,
2011-07-02,93,73,16,0.00,
2011-07-03,87,68,13,0.00,
2011-07-04,86,62,10,0.00,
2011-07-05,86,61,7,0.00,
2011-07-06,88,68,8,0.00,
2011-07-07,87,67,13,0.00,
2011-07-08,87,64,10,M,
2011-07-09,88,67,10,0.00,
2011-07-10,89,67,13,M,
2011-07-11,95,76,16,0.00,
2011-07-12,91,72,8,0.00,
2011-07-13,81,63,13,0.17,
2011-07-14,83,61,9,M,
2011-07-15,84,63,7,0.00,
2011-07-16,85,65,5,0.00,
2011-07-17,90,66,9,M,
2011-07-18,90,73,11,0.00,
2011-07-19,94,76,10,0.00,
2011-07-20,94,77,13,M,
2011-07-21,97,75,9,0.00,
2011-07-22,95,77,10,M,
2011-07-23,93,75,9,M,
2011-07-24,86,70,20,M,
2011-07-25,87,69,8,M,
2011-07-26,92,70,20,0.00,
2011-07-27,89,71,14,0.00,
2011-07-28,91,73,14,M,
2011-07-29,86,73,13,M,
2011-07-30,86,70,7,0.00,
2011-07-31,92,71,5,M,
2011-08-01,92,68,7,M,
2011-08-02,92,72,14,M,
2011-08-03,90,70,13,M,
2011-08-04,87,61,15,0.00,
2011-08-05,88,72,7,0.00,
2011-08-06,87,70,11,M,
2011-08-07,90,69,14,M,
2011-08-08,85,65,11,M,
2011-08-09,88,63,15,M,
2011-08-10,79,56,9,0.00,
2011-08-11,81,53,5,0.00,
2011-08-12,83,54,11,0.00,
2011-08-13,86,59,10,M,
2011-08-14,78,61,16,M,
2011-08-15,81,56,8,M,
2011-08-16,82,52,7,0.00,
2011-08-17,86,59,8,0.00,
2011-08-18,88,67,8,0.00,
2011-08-19,88,66,8,0.00,
2011-08-20,86,67,8,M,
2011-08-21,85,59,11,M,
2011-08-22,84,55,7,0.00,
2011-08-23,80,58,16,M,
2011-08-24,94,70,15,0.00,
2011-08-25,83,58,10,0.00,
2011-08-26,83,58,8,0.00,
2011-08-27,87,61,14,0.00,
2011-08-28,80,59,11,0.00,
2011-08-29,82,58,9,0.00,
2011-08-30,84,55,11,M,
2011-08-31,94,64,11,0.00,
2011-09-01,98,72,13,M,
2011-09-02,98,70,11,0.00,
2011-09-03,96,67,20,M,
2011-09-04,76,58,16,M,
2011-09-05,72,51,18,0.00,
2011-09-06,71,48,18,0.00,
2011-09-07,75,48,20,0.00,
2011-09-08,71,54,16,M,
2011-09-09,67,56,9,M,
2011-09-10,74,57,6,M,
2011-09-11,82,59,6,0.01,
2011-09-12,87,57,10,0.00,
2011-09-13,87,60,11,0.00,
2011-09-14,70,48,18,M,
2011-09-15,63,42,15,0.00,
2011-09-16,62,47,9,0.00,
2011-09-17,73,53,10,0.00,
2011-09-18,67,57,14,M,
2011-09-19,68,52,9,M,
2011-09-20,79,48,8,M,
2011-09-21,78,51,14,0.01,
2011-09-22,65,50,8,M,
2011-09-23,69,45,8,M,
2011-09-24,64,51,8,0.02,
2011-09-25,66,47,10,M,
2011-09-26,65,47,17,M,
2011-09-27,60,52,14,M,
2011-09-28,70,48,11,0.00,
2011-09-29,80,46,22,0.00,
2011-09-30,66,43,20,0.00,
2011-10-01,62,40,13,0.00,
2011-10-02,69,34,9,0.00,
2011-10-03,77,39,10,0.00,
2011-10-04,80,42,6,0.00,
2011-10-05,83,45,6,0.00,
2011-10-06,85,49,10,0.00,
2011-10-07,86,51,13,0.00,
2011-10-08,84,52,14,0.00,
2011-10-09,83,49,8,0.00,
2011-10-10,81,49,9,0.00,
2011-10-11,81,52,7,0.00,
2011-10-12,78,51,13,0.07,
2011-10-13,64,50,14,M,
2011-10-14,64,44,24,0.01,
2011-10-15,64,42,21,0.00,
2011-10-16,71,41,17,0.00,
2011-10-17,62,36,11,0.36,
2011-10-18,49,44,15,M,
2011-10-19,45,43,28,M,
2011-10-20,46,33,28,M,
2011-10-21,57,30,13,0.00,
2011-10-22,68,32,14,0.00,
2011-10-23,68,41,15,0.00,
2011-10-24,65,45,13,M,
2011-10-25,77,47,32,0.00,
2011-10-26,65,46,17,M,
2011-10-27,52,36,14,0.02,
2011-10-28,54,32,8,0.00,
2011-10-29,55,30,22,0.00,
2011-10-30,59,31,26,0.08,
2011-10-31,55,32,13,0.00,
2011-11-01,71,30,18,0.00,
2011-11-02,70,47,23,0.00,
2011-11-03,48,45,23,M,
2011-11-04,54,35,18,0.00,
2011-11-05,58,31,15,0.00,
2011-11-06,58,42,26,0.00,
2011-11-07,57,51,10,M,
2011-11-08,66,52,29,0.10,
2011-11-09,60,34,32,M,
2011-11-10,43,27,25,0.00,
2011-11-11,48,24,21,M,
2011-11-12,59,35,26,M,
2011-11-13,71,52,39,0.00,
2011-11-14,72,48,33,M,
2011-11-15,60,42,21,M,
2011-11-16,47,29,22,0.00,
2011-11-17,42,23,24,0.00,
2011-11-18,51,29,30,M,
2011-11-19,59,42,28,M,
2011-11-20,56,38,17,M,
2011-11-21,48,40,16,0.00,
2011-11-22,45,40,21,M,
2011-11-23,47,34,15,M,
2011-11-24,47,41,18,M,
2011-11-25,60,40,25,0.00,
2011-11-26,62,43,25,M,
2011-11-27,43,35,18,M,
2011-11-28,39,34,28,M,
2011-11-29,43,29,29,M,
2011-11-30,39,22,13,0.00,
2011-12-01,45,25,14,0.00,
2011-12-02,39,32,13,0.00,
2011-12-03,55,41,21,M,
2011-12-04,53,33,24,M,
2011-12-05,37,32,17,M,
2011-12-06,36,26,16,0.00,
2011-12-07,34,25,14,M,
2011-12-08,40,22,11,0.00,
2011-12-09,34,19,14,M,
2011-12-10,30,11,10,M,
2011-12-11,42,24,15,0.00,
2011-12-12,47,22,9,0.00,
2011-12-13,44,37,11,M,
2011-12-14,57,42,23,M,
2011-12-15,59,32,26,M,
2011-12-16,35,25,14,0.00,
2011-12-17,38,24,15,0.00,
2011-12-18,48,23,17,0.00,
2011-12-19,52,42,17,M,
2011-12-20,46,37,16,M,
2011-12-21,45,33,17,M,
2011-12-22,39,30,16,M,
2011-12-23,36,28,16,M,
2011-12-24,39,23,15,0.00,
2011-12-25,45,28,23,0.00,
2011-12-26,43,24,22,0.00,
2011-12-27,38,31,20,M,
2011-12-28,36,24,15,M,
2011-12-29,53,35,22,0.00,
2011-12-30,47,37,30,M,
2011-12-31,45,36,21,M,
2012-01-01,46,30,37,0.03,
2012-01-02,29,14,30,M,
2012-01-03,29,9,18,0.00,
2012-01-04,47,26,17,0.00,
2012-01-05,53,25,18,0.00,
2012-01-06,59,34,21,0.00,
2012-01-07,46,28,13,0.00,
2012-01-08,41,26,10,0.00,
2012-01-09,48,24,14,0.00,
2012-01-10,56,26,15,0.00,
2012-01-11,48,32,13,M,
2012-01-12,37,14,30,M,
2012-01-13,18,12,26,M,
2012-01-14,22,3,9,M,
2012-01-15,34,15,20,0.00,
2012-01-16,56,31,21,M,
2012-01-17,59,19,29,M,
2012-01-18,28,10,16,0.00,
2012-01-19,30,8,18,M,
2012-01-20,22,7,22,M,
2012-01-21,26,19,20,M,
2012-01-22,50,24,22,M,
2012-01-23,48,32,30,M,
2012-01-24,34,27,16,0.00,
2012-01-25,34,26,16,M,
2012-01-26,36,33,14,M,
2012-01-27,40,33,17,M,
2012-01-28,37,27,26,0.04,
2012-01-29,35,24,29,0.00,
2012-01-30,56,28,22,0.00,
2012-01-31,60,42,25,0.07,
2012-02-01,54,33,11,M,
2012-02-02,54,32,7,M,
2012-02-03,54,33,18,M,
2012-02-04,43,37,24,M,
2012-02-05,47,28,14,M,
2012-02-06,33,23,11,M,
2012-02-07,37,25,16,M,
2012-02-08,31,28,14,M,
2012-02-09,37,23,15,0.00,
2012-02-10,37,18,30,M,
2012-02-11,25,12,31,0.00,
2012-02-12,35,15,21,0.00,
2012-02-13,35,17,18,M,
2012-02-14,36,28,13,M,
2012-02-15,40,31,17,M,
2012-02-16,45,30,17,M,
2012-02-17,51,26,17,0.00,
2012-02-18,42,27,16,M,
2012-02-19,38,25,15,0.00,
2012-02-20,43,20,18,0.00,
2012-02-21,47,34,23,M,
2012-02-22,55,32,17,0.00,
2012-02-23,49,32,20,0.04,
2012-02-24,43,26,30,M,
2012-02-25,33,22,22,0.00,
2012-02-26,54,22,30,0.00,
2012-02-27,46,24,22,0.00,
2012-02-28,52,23,18,0.10,
2012-02-29,66,37,39,M,
2012-03-01,53,34,15,M,
2012-03-02,57,33,34,M,
2012-03-03,33,26,23,0.00,
2012-03-04,39,23,16,M,
2012-03-05,36,18,20,M,
2012-03-06,68,32,33,0.00,
2012-03-07,68,49,39,0.02,
2012-03-08,61,30,25,M,
2012-03-09,45,26,21,0.00,
2012-03-10,58,25,21,0.00,
2012-03-11,68,30,22,M,
2012-03-12,77,53,34,M,
2012-03-13,78,40,11,M,
2012-03-14,82,53,22,0.00,
2012-03-15,80,60,23,0.00,
2012-03-16,80,55,16,M,
